tmdb_id,nominee,year,festival,category,won,movie_title,Blank,award_name,Unnamed: 9
33577,Boris Kaufman,1954,Academy Awards,Best Cinematography (B&W),TRUE,On the Waterfront,,Cinematography (Black-and-White),
33579,Milton Krasner,1954,Academy Awards,Best Cinematography (Color),TRUE,Three Coins in the Fountain,,Cinematography (Color),
33581,James Wong Howe,1955,Academy Awards,Best Cinematography (B&W),TRUE,The Rose Tattoo,,Cinematography (Black-and-White),
33584,Robert Burks,1955,Academy Awards,Best Cinematography (Color),TRUE,To Catch a Thief,,Cinematography (Color),
33587,Joseph Ruttenberg,1956,Academy Awards,Best Cinematography (B&W),TRUE,Somebody Up There Likes Me,,Cinematography (Black-and-White),
33589,Lionel Lindon,1956,Academy Awards,Best Cinematography (Color),TRUE,Around the World in 80 Days,,Cinematography (Color),
33591,Jack Hildyard,1957,Academy Awards,Best Cinematography,TRUE,The Bridge on the River Kwai,,Cinematography,
33596,Sam Leavitt,1958,Academy Awards,Best Cinematography (B&W),TRUE,The Defiant Ones,,Cinematography (Black-and-White),
33598,Joseph Ruttenberg,1958,Academy Awards,Best Cinematography (Color),TRUE,Gigi,,Cinematography (Color),
33600,William Mellor,1959,Academy Awards,Best Cinematography (B&W),TRUE,The Diary of Anne Frank,,Cinematography (Black-and-White),
33602,Robert Surtees,1959,Academy Awards,Best Cinematography (Color),TRUE,Ben-Hur,,Cinematography (Color),
33604,Freddie Francis,1960,Academy Awards,Best Cinematography (B&W),TRUE,Sons and Lovers,,Cinematography (Black-and-White),
33606,Russell Metty,1960,Academy Awards,Best Cinematography (Color),TRUE,Spartacus,,Cinematography (Color),
33608,Eugen Shuftan,1961,Academy Awards,Best Cinematography (B&W),TRUE,The Hustler,,Cinematography (Black-and-White),
33610,Daniel L. Fapp,1961,Academy Awards,Best Cinematography (Color),TRUE,West Side Story,,Cinematography (Color),
33612,Jean Bourgoin; Walter Wottitz,1962,Academy Awards,Best Cinematography (B&W),TRUE,The Longest Day,,Cinematography (Black-and-White),
33614,Freddie Young,1962,Academy Awards,Best Cinematography (Color),TRUE,Lawrence of Arabia,,Cinematography (Color),
33616,James Wong Howe,1963,Academy Awards,Best Cinematography (B&W),TRUE,Hud,,Cinematography (Black-and-White),
33618,Leon Shamroy,1963,Academy Awards,Best Cinematography (Color),TRUE,Cleopatra,,Cinematography (Color),
33620,Walter Lassally,1964,Academy Awards,Best Cinematography (B&W),TRUE,Zorba the Greek,,Cinematography (Black-and-White),
33622,Harry Stradling,1964,Academy Awards,Best Cinematography (Color),TRUE,My Fair Lady,,Cinematography (Color),
33624,Ernest Laszlo,1965,Academy Awards,Best Cinematography (B&W),TRUE,Ship of Fools,,Cinematography (Black-and-White),
33626,Freddie Young,1965,Academy Awards,Best Cinematography (Color),TRUE,Doctor Zhivago,,Cinematography (Color),
33628,Haskell Wexler,1966,Academy Awards,Best Cinematography (B&W),TRUE,Who's Afraid of Virginia Woolf?,,Cinematography (Black-and-White),
33630,Ted Moore,1966,Academy Awards,Best Cinematography (Color),TRUE,A Man for All Seasons,,Cinematography (Color),
33632,Burnett Guffey,1967,Academy Awards,Best Cinematography,TRUE,Bonnie and Clyde,,Cinematography,
33634,Pasqualino De Santis,1968,Academy Awards,Best Cinematography,TRUE,Romeo and Juliet,,Cinematography,
33636,Conrad Hall,1969,Academy Awards,Best Cinematography,TRUE,Butch Cassidy and the Sundance Kid,,Cinematography,
33638,Freddie Young,1970,Academy Awards,Best Cinematography,TRUE,Ryan's Daughter,,Cinematography,
33502,Oswald Morris,1971,Academy Awards,Best Cinematography,TRUE,Fiddler on the Roof,,Cinematography,
33503,Geoffrey Unsworth,1972,Academy Awards,Best Cinematography,TRUE,Cabaret,,Cinematography,
33504,Sven Nykvist,1973,Academy Awards,Best Cinematography,TRUE,Cries and Whispers,,Cinematography,
33505,Fred J. Koenekamp; Joseph F. Biroc,1974,Academy Awards,Best Cinematography,TRUE,The Towering Inferno,,Cinematography,
33506,John Alcott,1975,Academy Awards,Best Cinematography,TRUE,Barry Lyndon,,Cinematography,
33507,Haskell Wexler,1976,Academy Awards,Best Cinematography,TRUE,Bound for Glory,,Cinematography,
33508,Vilmos Zsigmond,1977,Academy Awards,Best Cinematography,TRUE,Close Encounters of the Third Kind,,Cinematography,
33509,Nestor Almendros,1978,Academy Awards,Best Cinematography,TRUE,Days of Heaven,,Cinematography,
33510,Vittorio Storaro,1979,Academy Awards,Best Cinematography,TRUE,Apocalypse Now,,Cinematography,
33511,Geoffrey Unsworth; Ghislain Cloquet,1980,Academy Awards,Best Cinematography,TRUE,Tess,,Cinematography,
33512,Vittorio Storaro,1981,Academy Awards,Best Cinematography,TRUE,Reds,,Cinematography,
33513,Billy Williams; Ronnie Taylor,1982,Academy Awards,Best Cinematography,TRUE,Gandhi,,Cinematography,
33514,Sven Nykvist,1983,Academy Awards,Best Cinematography,TRUE,Fanny and Alexander,,Cinematography,
33515,Chris Menges,1984,Academy Awards,Best Cinematography,TRUE,The Killing Fields,,Cinematography,
33516,David Watkin,1985,Academy Awards,Best Cinematography,TRUE,Out of Africa,,Cinematography,
33517,Chris Menges,1986,Academy Awards,Best Cinematography,TRUE,The Mission,,Cinematography,
33518,Vittorio Storaro,1987,Academy Awards,Best Cinematography,TRUE,The Last Emperor,,Cinematography,
33519,Peter Biziou,1988,Academy Awards,Best Cinematography,TRUE,Mississippi Burning,,Cinematography,
33520,Freddie Francis,1989,Academy Awards,Best Cinematography,TRUE,Glory,,Cinematography,
33521,Dean Semler,1990,Academy Awards,Best Cinematography,TRUE,Dances with Wolves,,Cinematography,
33522,Robert Richardson,1991,Academy Awards,Best Cinematography,TRUE,JFK,,Cinematography,
33523,Philippe Rousselot,1992,Academy Awards,Best Cinematography,TRUE,A River Runs Through It,,Cinematography,
33524,Janusz Kamiński,1993,Academy Awards,Best Cinematography,TRUE,Schindler's List,,Cinematography,
33525,John Toll,1994,Academy Awards,Best Cinematography,TRUE,Legends of the Fall,,Cinematography,
33526,John Toll,1995,Academy Awards,Best Cinematography,TRUE,Braveheart,,Cinematography,
33527,John Seale,1996,Academy Awards,Best Cinematography,TRUE,The English Patient,,Cinematography,
33528,Russell Carpenter,1997,Academy Awards,Best Cinematography,TRUE,Titanic,,Cinematography,
33529,Janusz Kamiński,1998,Academy Awards,Best Cinematography,TRUE,Saving Private Ryan,,Cinematography,
33530,Conrad Hall,1999,Academy Awards,Best Cinematography,TRUE,American Beauty,,Cinematography,
33531,Peter Pau,2000,Academy Awards,Best Cinematography,TRUE,Crouching Tiger, Hidden Dragon,Cinematography,
33532,Andrew Lesnie,2001,Academy Awards,Best Cinematography,TRUE,The Lord of the Rings: The Fellowship of the Ring,,Cinematography,
33533,Conrad Hall,2002,Academy Awards,Best Cinematography,TRUE,Road to Perdition,,Cinematography,
33534,Russell Boyd,2003,Academy Awards,Best Cinematography,TRUE,Master and Commander: The Far Side of the World,,Cinematography,
33535,Robert Richardson,2004,Academy Awards,Best Cinematography,TRUE,The Aviator,,Cinematography,
33536,Dion Beebe,2005,Academy Awards,Best Cinematography,TRUE,Memoirs of a Geisha,,Cinematography,
33537,Guillermo Navarro,2006,Academy Awards,Best Cinematography,TRUE,Pan's Labyrinth,,Cinematography,
33538,Robert Elswit,2007,Academy Awards,Best Cinematography,TRUE,There Will Be Blood,,Cinematography,
33539,Anthony Dod Mantle,2008,Academy Awards,Best Cinematography,TRUE,Slumdog Millionaire,,Cinematography,
33540,Mauro Fiore,2009,Academy Awards,Best Cinematography,TRUE,Avatar,,Cinematography,
33541,Wally Pfister,2010,Academy Awards,Best Cinematography,TRUE,Inception,,Cinematography,
33542,Robert Richardson,2011,Academy Awards,Best Cinematography,TRUE,Hugo,,Cinematography,
33543,Claudio Miranda,2012,Academy Awards,Best Cinematography,TRUE,Life of Pi,,Cinematography,
33544,Emmanuel Lubezki,2013,Academy Awards,Best Cinematography,TRUE,Gravity,,Cinematography,
33545,Emmanuel Lubezki,2014,Academy Awards,Best Cinematography,TRUE,Birdman,,Cinematography,
33546,Emmanuel Lubezki,2015,Academy Awards,Best Cinematography,TRUE,The Revenant,,Cinematography,
33547,Linus Sandgren,2016,Academy Awards,Best Cinematography,TRUE,La La Land,,Cinematography,
33548,Roger Deakins,2017,Academy Awards,Best Cinematography,TRUE,Blade Runner 2049,,Cinematography,
33549,Alfonso Cuarón,2018,Academy Awards,Best Cinematography,TRUE,Roma,,Cinematography,
33550,Roger Deakins,2019,Academy Awards,Best Cinematography,TRUE,1917,,Cinematography,
33551,Erik Messerschmidt,2020,Academy Awards,Best Cinematography,TRUE,Mank,,Cinematography,
33552,Greig Fraser,2021,Academy Awards,Best Cinematography,TRUE,Dune,,Cinematography,
33553,James Friend,2022,Academy Awards,Best Cinematography,TRUE,All Quiet on the Western Front,,Cinematography,
33554,Hoyte van Hoytema,2023,Academy Awards,Best Cinematography,TRUE,Oppenheimer,,Cinematography,
33555,Lol Crawley,2024,Academy Awards,Best Cinematography,TRUE,The Brutalist,,Cinematography,
33556,Autumn Durald Arkapaw,2025,Academy Awards,Best Cinematography,TRUE,Sinners,,Cinematography,
33557,Michael Bauman,2026,Academy Awards,Best Cinematography,TRUE,One Battle After Another,,Cinematography,
