tmdb_id,nominee,year,festival,category,won,movie_title,,
30018,Kim Hunter,1952,Golden Globes,Best Supporting Actress,TRUE,A Streetcar Named Desire,,
30444,Lee Grant,1952,Golden Globes,Best Supporting Actress,FALSE,Detective Story,,
30445,Thelma Ritter,1952,Golden Globes,Best Supporting Actress,FALSE,The Mating Season,,
30019,Millard Mitchell,1953,Golden Globes,Best Supporting Actor,TRUE,My Six Convicts,,
30446,Kurt Kasznar,1953,Golden Globes,Best Supporting Actor,FALSE,The Happy Time,,
30447,Gilbert Roland,1953,Golden Globes,Best Supporting Actor,FALSE,The Bad and the Beautiful,,
30020,Katy Jurado,1953,Golden Globes,Best Supporting Actress,TRUE,High Noon,,
30448,Mildred Dunnock,1953,Golden Globes,Best Supporting Actress,FALSE,Viva Zapata!,,
30449,Gloria Grahame,1953,Golden Globes,Best Supporting Actress,TRUE,The Bad and the Beautiful,,
30021,Frank Sinatra,1954,Golden Globes,Best Supporting Actor,TRUE,From Here to Eternity,,
30450,Jack Palance,1954,Golden Globes,Best Supporting Actor,FALSE,Shane,,
30451,Robert Strauss,1954,Golden Globes,Best Supporting Actor,FALSE,Stalag 17,,
30022,Grace Kelly,1954,Golden Globes,Best Supporting Actress,TRUE,Mogambo,,
30023,Edmond O'Brien,1955,Golden Globes,Best Supporting Actor,TRUE,The Barefoot Contessa,,
30024,Jan Sterling,1955,Golden Globes,Best Supporting Actress,TRUE,The High and the Mighty,,
30025,Arthur Kennedy,1956,Golden Globes,Best Supporting Actor,TRUE,Trial,,
30026,Marisa Pavan,1956,Golden Globes,Best Supporting Actress,TRUE,The Rose Tattoo,,
30027,Earl Holliman,1957,Golden Globes,Best Supporting Actor,TRUE,The Rainmaker,,
30452,Eddie Albert,1957,Golden Globes,Best Supporting Actor,FALSE,The Teahouse of the August Moon,,
30453,Oscar Levant,1957,Golden Globes,Best Supporting Actor,FALSE,The Humorous Side of Love,,
30454,Anthony Quinn,1957,Golden Globes,Best Supporting Actor,FALSE,Lust for Life,,
30455,Eli Wallach,1957,Golden Globes,Best Supporting Actor,FALSE,Baby Doll,,
30028,Eileen Heckart,1957,Golden Globes,Best Supporting Actress,TRUE,The Bad Seed,,
30456,Mildred Dunnock,1957,Golden Globes,Best Supporting Actress,FALSE,Baby Doll,,
30457,Marjorie Main,1957,Golden Globes,Best Supporting Actress,FALSE,The Friendly Persuasion,,
30458,Dorothy Malone,1957,Golden Globes,Best Supporting Actress,FALSE,Written on the Wind,,
30459,Patty McCormack,1957,Golden Globes,Best Supporting Actress,FALSE,The Bad Seed,,
30029,Red Buttons,1958,Golden Globes,Best Supporting Actor,TRUE,Sayonara,,
30460,Lee J. Cobb,1958,Golden Globes,Best Supporting Actor,FALSE,Sayonara,,
30461,Sessue Hayakawa,1958,Golden Globes,Best Supporting Actor,FALSE,The Bridge on the River Kwai,,
30462,Nigel Patrick,1958,Golden Globes,Best Supporting Actor,FALSE,Raintree County,,
30463,Ed Wynn,1958,Golden Globes,Best Supporting Actor,FALSE,The Great Man,,
30030,Elsa Lanchester,1958,Golden Globes,Best Supporting Actress,TRUE,Witness for the Prosecution,,
30464,Mildred Natwick,1958,Golden Globes,Best Supporting Actress,FALSE,Tammy and the Bachelor,,
30465,Hope Lange,1958,Golden Globes,Best Supporting Actress,FALSE,Peyton Place,,
30466,Heather Sears,1958,Golden Globes,Best Supporting Actress,FALSE,The Story of Esther Costello,,
30467,Miyoshi Umeki,1958,Golden Globes,Best Supporting Actress,FALSE,Sayonara,,
30031,Burl Ives,1959,Golden Globes,Best Supporting Actor,TRUE,The Big Country,,
30468,Harry Guardino,1959,Golden Globes,Best Supporting Actor,FALSE,Houseboat,,
30469,David Ladd,1959,Golden Globes,Best Supporting Actor,FALSE,The Proud Rebel,,
30470,Gig Young,1959,Golden Globes,Best Supporting Actor,FALSE,Teacher's Pet,,
30471,Efrem Zimbalist Jr.,1959,Golden Globes,Best Supporting Actor,FALSE,Home Before Dark,,
30032,Hermione Gingold,1959,Golden Globes,Best Supporting Actress,TRUE,Gigi,,
30472,Peggy Cass,1959,Golden Globes,Best Supporting Actress,FALSE,Auntie Mame,,
30473,Wendy Hiller,1959,Golden Globes,Best Supporting Actress,FALSE,Separate Tables,,
30474,Maureen Stapleton,1959,Golden Globes,Best Supporting Actress,FALSE,Lonelyhearts,,
30033,Stephen Boyd,1960,Golden Globes,Best Supporting Actor,TRUE,Ben-Hur,,
30475,Fred Astaire,1960,Golden Globes,Best Supporting Actor,FALSE,On the Beach,,
30476,Tony Randall,1960,Golden Globes,Best Supporting Actor,FALSE,Pillow Talk,,
30477,Robert Vaughn,1960,Golden Globes,Best Supporting Actor,FALSE,The Young Philadelphians,,
30478,Joseph N. Welch,1960,Golden Globes,Best Supporting Actor,FALSE,Anatomy of a Murder,,
30034,Susan Kohner,1960,Golden Globes,Best Supporting Actress,TRUE,Imitation of Life,,
30479,Edith Evans,1960,Golden Globes,Best Supporting Actress,FALSE,The Nun's Story,,
30480,Estelle Hemsley,1960,Golden Globes,Best Supporting Actress,FALSE,Take a Giant Step,,
30481,Juanita Moore,1960,Golden Globes,Best Supporting Actress,FALSE,Imitation of Life,,
30482,Shelley Winters,1960,Golden Globes,Best Supporting Actress,FALSE,The Diary of Anne Frank,,
30035,Sal Mineo,1961,Golden Globes,Best Supporting Actor,TRUE,Exodus,,
30483,Lee Kinsolving,1961,Golden Globes,Best Supporting Actor,FALSE,The Dark at the Top of the Stairs,,
30484,Ray Strickland,1961,Golden Globes,Best Supporting Actor,FALSE,The Plunderers,,
30485,Woody Strode,1961,Golden Globes,Best Supporting Actor,FALSE,Spartacus,,
30486,Peter Ustinov,1961,Golden Globes,Best Supporting Actor,FALSE,Spartacus,,
30036,Janet Leigh,1961,Golden Globes,Best Supporting Actress,TRUE,Psycho,,
30487,Ina Balin,1961,Golden Globes,Best Supporting Actress,FALSE,From the Terrace,,
30488,Shirley Jones,1961,Golden Globes,Best Supporting Actress,FALSE,Elmer Gantry,,
30489,Shirley Knight,1961,Golden Globes,Best Supporting Actress,FALSE,The Dark at the Top of the Stairs,,
30490,Mary Ure,1961,Golden Globes,Best Supporting Actress,FALSE,Sons and Lovers,,
30037,George Chakiris,1962,Golden Globes,Best Supporting Actor,TRUE,West Side Story,,
30491,Montgomery Clift,1962,Golden Globes,Best Supporting Actor,FALSE,Judgment at Nuremberg,,
30492,Jackie Gleason,1962,Golden Globes,Best Supporting Actor,FALSE,The Hustler,,
30493,Tony Randall,1962,Golden Globes,Best Supporting Actor,FALSE,Lover Come Back,,
30494,George Segal,1962,Golden Globes,Best Supporting Actor,FALSE,The Young Doctors,,
30038,Rita Moreno,1962,Golden Globes,Best Supporting Actress,TRUE,West Side Story,,
30495,Fay Bainter,1962,Golden Globes,Best Supporting Actress,FALSE,The Children's Hour,,
30496,Judy Garland,1962,Golden Globes,Best Supporting Actress,FALSE,Judgment at Nuremberg,,
30497,Lotte Lenya,1962,Golden Globes,Best Supporting Actress,FALSE,The Roman Spring of Mrs. Stone,,
30498,Pamela Tiffin,1962,Golden Globes,Best Supporting Actress,FALSE,One, Two, Three
30039,Omar Sharif,1963,Golden Globes,Best Supporting Actor,TRUE,Lawrence of Arabia,,
30499,Ed Begley,1963,Golden Globes,Best Supporting Actor,FALSE,Sweet Bird of Youth,,
30500,Victor Buono,1963,Golden Globes,Best Supporting Actor,FALSE,What Ever Happened to Baby Jane?,,
30501,Harry Guardino,1963,Golden Globes,Best Supporting Actor,FALSE,The Pigeon That Took Rome,,
30502,Rossano Brazzi,1963,Golden Globes,Best Supporting Actor,FALSE,Light in the Piazza,,
30040,Angela Lansbury,1963,Golden Globes,Best Supporting Actress,TRUE,The Manchurian Candidate,,
30503,Patty Duke,1963,Golden Globes,Best Supporting Actress,FALSE,The Miracle Worker,,
30504,Hermione Gingold,1963,Golden Globes,Best Supporting Actress,FALSE,The Music Man,,
30505,Shirley Knight,1963,Golden Globes,Best Supporting Actress,FALSE,Sweet Bird of Youth,,
30506,Kay Stevens,1963,Golden Globes,Best Supporting Actress,FALSE,The Interns,,
30041,John Huston,1964,Golden Globes,Best Supporting Actor,TRUE,The Cardinal,,
30507,Lee J. Cobb,1964,Golden Globes,Best Supporting Actor,FALSE,Come Blow Your Horn,,
30508,Bobby Darin,1964,Golden Globes,Best Supporting Actor,FALSE,Captain Newman, M.D.,
30509,Hugh Griffith,1964,Golden Globes,Best Supporting Actor,FALSE,Tom Jones,,
30510,Gregory Walcott,1964,Golden Globes,Best Supporting Actor,FALSE,Captain Newman, M.D.,
30042,Margaret Rutherford,1964,Golden Globes,Best Supporting Actress,TRUE,The V.I.P.s,,
30511,Diane Cilento,1964,Golden Globes,Best Supporting Actress,FALSE,Tom Jones,,
30512,Edith Evans,1964,Golden Globes,Best Supporting Actress,FALSE,Tom Jones,,
30513,Linda Marsh,1964,Golden Globes,Best Supporting Actress,FALSE,America America,,
30514,Lilia Skala,1964,Golden Globes,Best Supporting Actress,FALSE,Lilies of the Field,,
30043,Edmond O'Brien,1965,Golden Globes,Best Supporting Actor,TRUE,Seven Days in May,,
30515,Cyril Delevanti,1965,Golden Globes,Best Supporting Actor,FALSE,The Night of the Iguana,,
30516,Stanley Holloway,1965,Golden Globes,Best Supporting Actor,FALSE,My Fair Lady,,
30517,Gilbert Roland,1965,Golden Globes,Best Supporting Actor,FALSE,Cheyenne Autumn,,
30518,Lee Tracy,1965,Golden Globes,Best Supporting Actor,FALSE,The Best Man,,
30044,Agnes Moorehead,1965,Golden Globes,Best Supporting Actress,TRUE,Hush...Hush, Sweet Charlotte,
30519,Elizabeth Ashley,1965,Golden Globes,Best Supporting Actress,FALSE,The Carpetbaggers,,
30520,Grayson Hall,1965,Golden Globes,Best Supporting Actress,FALSE,The Night of the Iguana,,
30521,Lila Kedrova,1965,Golden Globes,Best Supporting Actress,FALSE,Zorba the Greek,,
30522,Ann Sothern,1965,Golden Globes,Best Supporting Actress,FALSE,The Best Man,,
30045,Oskar Werner,1966,Golden Globes,Best Supporting Actor,TRUE,The Spy Who Came in from the Cold,,
30523,Red Buttons,1966,Golden Globes,Best Supporting Actor,FALSE,Harlow,,
30524,Frank Finlay,1966,Golden Globes,Best Supporting Actor,FALSE,Othello,,
30525,Hardy Krüger,1966,Golden Globes,Best Supporting Actor,FALSE,The Flight of the Phoenix,,
30526,Telly Savalas,1966,Golden Globes,Best Supporting Actor,FALSE,Battle of the Bulge,,
30046,Ruth Gordon,1966,Golden Globes,Best Supporting Actress,TRUE,Inside Daisy Clover,,
30527,Joan Blondell,1966,Golden Globes,Best Supporting Actress,FALSE,The Cincinnati Kid,,
30528,Joyce Redman,1966,Golden Globes,Best Supporting Actress,FALSE,Othello,,
30529,Thelma Ritter,1966,Golden Globes,Best Supporting Actress,FALSE,Boeing Boeing,,
30530,Peggy Wood,1966,Golden Globes,Best Supporting Actress,FALSE,The Sound of Music,,
30047,Richard Attenborough,1967,Golden Globes,Best Supporting Actor,TRUE,The Sand Pebbles,,
30531,Mako,1967,Golden Globes,Best Supporting Actor,FALSE,The Sand Pebbles,,
30532,John Cassavetes,1967,Golden Globes,Best Supporting Actor,FALSE,The Dirty Dozen,,
30533,Robert Morley,1967,Golden Globes,Best Supporting Actor,FALSE,Way...Way Out,,
30534,George Segal,1967,Golden Globes,Best Supporting Actor,FALSE,Who's Afraid of Virginia Woolf?,,
30048,Jocelyne LaGarde,1967,Golden Globes,Best Supporting Actress,TRUE,Hawaii,,
30535,Sandy Dennis,1967,Golden Globes,Best Supporting Actress,FALSE,Who's Afraid of Virginia Woolf?,,
30536,Vivien Merchant,1967,Golden Globes,Best Supporting Actress,FALSE,Alfie,,
30537,Geraldine Page,1967,Golden Globes,Best Supporting Actress,FALSE,You're a Big Boy Now,,
30538,Shelley Winters,1967,Golden Globes,Best Supporting Actress,FALSE,Alfie,,
30049,Richard Attenborough,1968,Golden Globes,Best Supporting Actor,TRUE,Doctor Dolittle,,
30539,Abram Koffman,1968,Golden Globes,Best Supporting Actor,FALSE,The Comedians,,
30540,George Kennedy,1968,Golden Globes,Best Supporting Actor,FALSE,Cool Hand Luke,,
30541,Efrem Zimbalist Jr.,1968,Golden Globes,Best Supporting Actor,FALSE,Wait Until Dark,,
30542,George Chakiris,1968,Golden Globes,Best Supporting Actor,FALSE,The Young Girls of Rochefort,,
30050,Carol Channing,1968,Golden Globes,Best Supporting Actress,TRUE,Thoroughly Modern Millie,,
30543,Quentin Dean,1968,Golden Globes,Best Supporting Actress,FALSE,In the Heat of the Night,,
30544,Lillian Gish,1968,Golden Globes,Best Supporting Actress,FALSE,The Comedians,,
30545,Lee Grant,1968,Golden Globes,Best Supporting Actress,FALSE,In the Heat of the Night,,
30546,Prunella Ransome,1968,Golden Globes,Best Supporting Actress,FALSE,Far from the Madding Crowd,,
30051,Daniel Massey,1969,Golden Globes,Best Supporting Actor,TRUE,Star!,,
30547,Beau Bridges,1969,Golden Globes,Best Supporting Actor,FALSE,For Love of Ivy,,
30548,Ossie Davis,1969,Golden Globes,Best Supporting Actor,FALSE,The Scalphunters,,
30549,Hugh Griffith,1969,Golden Globes,Best Supporting Actor,FALSE,Oliver!,,
30550,Martin Sheen,1969,Golden Globes,Best Supporting Actor,FALSE,The Subject Was Roses,,
30052,Ruth Gordon,1969,Golden Globes,Best Supporting Actress,TRUE,Rosemary's Baby,,
30551,Barbara Hancock,1969,Golden Globes,Best Supporting Actress,FALSE,Finian's Rainbow,,
30552,Abbey Lincoln,1969,Golden Globes,Best Supporting Actress,FALSE,For Love of Ivy,,
30553,Sondra Locke,1969,Golden Globes,Best Supporting Actress,FALSE,The Heart Is a Lonely Hunter,,
30554,Jane Merrow,1969,Golden Globes,Best Supporting Actress,FALSE,The Lion in Winter,,
30055,John Mills,1971,Golden Globes,Best Supporting Actor,TRUE,Ryan's Daughter,,
30555,Chief Dan George,1971,Golden Globes,Best Supporting Actor,FALSE,Little Big Man,,
30556,Trevor Howard,1971,Golden Globes,Best Supporting Actor,FALSE,Ryan's Daughter,,
30557,George Kennedy,1971,Golden Globes,Best Supporting Actor,FALSE,Airport,,
30558,John Marley,1971,Golden Globes,Best Supporting Actor,FALSE,Love Story,,
30056,Karen Black,1971,Golden Globes,Best Supporting Actress,TRUE,Five Easy Pieces,,
30056,Maureen Stapleton,1971,Golden Globes,Best Supporting Actress,TRUE,Airport,,
30559,Tina Chen,1971,Golden Globes,Best Supporting Actress,FALSE,The Hawaiians,,
30560,Lee Grant,1971,Golden Globes,Best Supporting Actress,FALSE,The Landlord,,
30561,Sally Kellerman,1971,Golden Globes,Best Supporting Actress,FALSE,M*A*S*H,,
30057,Ben Johnson,1972,Golden Globes,Best Supporting Actor,TRUE,The Last Picture Show,,
30562,Tom Baker,1972,Golden Globes,Best Supporting Actor,FALSE,Nicholas and Alexandra,,
30563,Art Garfunkel,1972,Golden Globes,Best Supporting Actor,FALSE,Carnal Knowledge,,
30564,Paul Mann,1972,Golden Globes,Best Supporting Actor,FALSE,Fiddler on the Roof,,
30565,Jan-Michael Vincent,1972,Golden Globes,Best Supporting Actor,FALSE,Going Home,,
30058,Ann-Margret,1972,Golden Globes,Best Supporting Actress,TRUE,Carnal Knowledge,,
30566,Ellen Burstyn,1972,Golden Globes,Best Supporting Actress,FALSE,The Last Picture Show,,
30567,Cloris Leachman,1972,Golden Globes,Best Supporting Actress,FALSE,The Last Picture Show,,
30568,Diana Rigg,1972,Golden Globes,Best Supporting Actress,FALSE,The Hospital,,
30569,Maureen Stapleton,1972,Golden Globes,Best Supporting Actress,FALSE,Plaza Suite,,
30059,Joel Grey,1973,Golden Globes,Best Supporting Actor,TRUE,Cabaret,,
30570,James Caan,1973,Golden Globes,Best Supporting Actor,FALSE,The Godfather,,
30571,James Coco,1973,Golden Globes,Best Supporting Actor,FALSE,Man of La Mancha,,
30572,Alec McCowen,1973,Golden Globes,Best Supporting Actor,FALSE,Travels with My Aunt,,
30573,Clive Revill,1973,Golden Globes,Best Supporting Actor,FALSE,Avanti!,,
30060,Shelley Winters,1973,Golden Globes,Best Supporting Actress,TRUE,The Poseidon Adventure,,
30574,Marisa Berenson,1973,Golden Globes,Best Supporting Actress,FALSE,Cabaret,,
30575,Jeannie Berlin,1973,Golden Globes,Best Supporting Actress,FALSE,The Heartbreak Kid,,
30576,Helena Kallianiotes,1973,Golden Globes,Best Supporting Actress,FALSE,Kansas City Bomber,,
30577,Geraldine Page,1973,Golden Globes,Best Supporting Actress,FALSE,Pete 'n' Tillie,,
30061,John Houseman,1974,Golden Globes,Best Supporting Actor,TRUE,The Paper Chase,,
30578,Martin Balsam,1974,Golden Globes,Best Supporting Actor,FALSE,Summer Wishes, Winter Dreams,
30579,Jack Gilford,1974,Golden Globes,Best Supporting Actor,FALSE,Save the Tiger,,
30580,Randy Quaid,1974,Golden Globes,Best Supporting Actor,FALSE,The Last Detail,,
30581,Max von Sydow,1974,Golden Globes,Best Supporting Actor,FALSE,The Exorcist,,
30062,Linda Blair,1974,Golden Globes,Best Supporting Actress,TRUE,The Exorcist,,
30582,Valentina Cortese,1974,Golden Globes,Best Supporting Actress,FALSE,Day for Night,,
30583,Madeline Kahn,1974,Golden Globes,Best Supporting Actress,FALSE,Paper Moon,,
30584,Kate Reid,1974,Golden Globes,Best Supporting Actress,FALSE,A Delicate Balance,,
30585,Sylvia Sidney,1974,Golden Globes,Best Supporting Actress,FALSE,Summer Wishes, Winter Dreams,
30063,Fred Astaire,1975,Golden Globes,Best Supporting Actor,TRUE,The Towering Inferno,,
30586,Bruce Dern,1975,Golden Globes,Best Supporting Actor,FALSE,The Great Gatsby,,
30587,Sam Waterston,1975,Golden Globes,Best Supporting Actor,FALSE,The Great Gatsby,,
30588,Eddie Albert,1975,Golden Globes,Best Supporting Actor,FALSE,The Longest Yard,,
30506,John Huston,1975,Golden Globes,Best Supporting Actor,FALSE,Chinatown,,
30064,Karen Black,1975,Golden Globes,Best Supporting Actress,TRUE,The Great Gatsby,,
30589,Beatrice Arthur,1975,Golden Globes,Best Supporting Actress,FALSE,Mame,,
30590,Jennifer Jones,1975,Golden Globes,Best Supporting Actress,FALSE,The Towering Inferno,,
30591,Madeline Kahn,1975,Golden Globes,Best Supporting Actress,FALSE,Young Frankenstein,,
30592,Diane Ladd,1975,Golden Globes,Best Supporting Actress,FALSE,Alice Doesn't Live Here Anymore,,
30065,Richard Benjamin,1976,Golden Globes,Best Supporting Actor,TRUE,The Sunshine Boys,,
30593,John Cazale,1976,Golden Globes,Best Supporting Actor,FALSE,Dog Day Afternoon,,
30594,Charles Durning,1976,Golden Globes,Best Supporting Actor,FALSE,Dog Day Afternoon,,
30595,Henry Gibson,1976,Golden Globes,Best Supporting Actor,FALSE,Nashville,,
30596,Burgess Meredith,1976,Golden Globes,Best Supporting Actor,FALSE,The Day of the Locust,,
30066,Brenda Vaccaro,1976,Golden Globes,Best Supporting Actress,TRUE,Once Is Not Enough,,
30597,Ronee Blakley,1976,Golden Globes,Best Supporting Actress,FALSE,Nashville,,
30598,Geraldine Chaplin,1976,Golden Globes,Best Supporting Actress,FALSE,Nashville,,
30599,Barbara Harris,1976,Golden Globes,Best Supporting Actress,FALSE,Nashville,,
30600,Lily Tomlin,1976,Golden Globes,Best Supporting Actress,FALSE,Nashville,,
30601,Lee Grant,1976,Golden Globes,Best Supporting Actress,FALSE,Shampoo,,
30067,Jason Robards,1977,Golden Globes,Best Supporting Actor,TRUE,All the President's Men,,
30602,Marty Feldman,1977,Golden Globes,Best Supporting Actor,FALSE,Silent Movie,,
30603,Ron Howard,1977,Golden Globes,Best Supporting Actor,FALSE,The Shootist,,
1833,Christopher Walken,1979,Golden Globes,Best Supporting Actor,FALSE,The Deer Hunter,,
30070,Vanessa Redgrave,1978,Golden Globes,Best Supporting Actress,TRUE,Julia,,
30604,Melinda Dillon,1978,Golden Globes,Best Supporting Actress,FALSE,Close Encounters of the Third Kind,,
30605,Tuesday Weld,1978,Golden Globes,Best Supporting Actress,FALSE,Looking for Mr. Goodbar,,
30606,Quinn Cummings,1978,Golden Globes,Best Supporting Actress,FALSE,The Goodbye Girl,,
30607,Leslie Browne,1978,Golden Globes,Best Supporting Actress,FALSE,The Turning Point,,
30071,John Hurt,1979,Golden Globes,Best Supporting Actor,TRUE,Midnight Express,,
30072,Dyan Cannon,1979,Golden Globes,Best Supporting Actress,TRUE,Heaven Can Wait,,
30608,Penelope Milford,1979,Golden Globes,Best Supporting Actress,FALSE,Coming Home,,
30609,Meryl Streep,1979,Golden Globes,Best Supporting Actress,FALSE,The Deer Hunter,,
30073,Melvyn Douglas,1980,Golden Globes,Best Supporting Actor,TRUE,Being There,,
30073,Robert Duvall,1980,Golden Globes,Best Supporting Actor,TRUE,Apocalypse Now,,
30074,Meryl Streep,1980,Golden Globes,Best Supporting Actress,TRUE,Kramer vs. Kramer,,
30075,Timothy Hutton,1981,Golden Globes,Best Supporting Actor,TRUE,Ordinary People,,
30076,Mary Steenburgen,1981,Golden Globes,Best Supporting Actress,TRUE,Melvin and Howard,,
30077,John Gielgud,1982,Golden Globes,Best Supporting Actor,TRUE,Arthur,,
30078,Joan Hackett,1982,Golden Globes,Best Supporting Actress,TRUE,Only When I Laugh,,
30079,Louis Gossett Jr.,1983,Golden Globes,Best Supporting Actor,TRUE,An Officer and a Gentleman,,
30080,Jessica Lange,1983,Golden Globes,Best Supporting Actress,TRUE,Tootsie,,
30081,Jack Nicholson,1984,Golden Globes,Best Supporting Actor,TRUE,Terms of Endearment,,
30082,Cher,1984,Golden Globes,Best Supporting Actress,TRUE,Silkwood,,
30083,Haing S. Ngor,1985,Golden Globes,Best Supporting Actor,TRUE,The Killing Fields,,
30084,Peggy Ashcroft,1985,Golden Globes,Best Supporting Actress,TRUE,A Passage to India,,
30085,Klaus Maria Brandauer,1986,Golden Globes,Best Supporting Actor,TRUE,Out of Africa,,
30086,Meg Tilly,1986,Golden Globes,Best Supporting Actress,TRUE,Agnes of God,,
30087,Tom Berenger,1987,Golden Globes,Best Supporting Actor,TRUE,Platoon,,
30088,Maggie Smith,1987,Golden Globes,Best Supporting Actress,TRUE,A Room with a View,,
30089,Sean Connery,1988,Golden Globes,Best Supporting Actor,TRUE,The Untouchables,,
30090,Olympia Dukakis,1988,Golden Globes,Best Supporting Actress,TRUE,Moonstruck,,
30091,Martin Landau,1989,Golden Globes,Best Supporting Actor,TRUE,Tucker: The Man and His Dream,,
30610,Alec Guinness,1989,Golden Globes,Best Supporting Actor,FALSE,Little Dorrit,,
30611,Dean Stockwell,1989,Golden Globes,Best Supporting Actor,FALSE,Married to the Mob,,
30612,Martin Balsam,1989,Golden Globes,Best Supporting Actor,FALSE,Running Scared,,
30581,Max von Sydow,1989,Golden Globes,Best Supporting Actor,FALSE,Pelle the Conqueror,,
30092,Sigourney Weaver,1989,Golden Globes,Best Supporting Actress,TRUE,Working Girl,,
30093,Denzel Washington,1990,Golden Globes,Best Supporting Actor,TRUE,Glory,,
30094,Julia Roberts,1990,Golden Globes,Best Supporting Actress,TRUE,Steel Magnolias,,
30103,Brad Pitt,1996,Golden Globes,Best Supporting Actor,TRUE,12 Monkeys,,
30105,Edward Norton,1997,Golden Globes,Best Supporting Actor,TRUE,Primal Fear,,
30107,Burt Reynolds,1998,Golden Globes,Best Supporting Actor,TRUE,Boogie Nights,,
30109,Ed Harris,1999,Golden Globes,Best Supporting Actor,TRUE,The Truman Show,,
30111,Tom Cruise,2000,Golden Globes,Best Supporting Actor,TRUE,Magnolia,,
30613,Michael Caine,2000,Golden Globes,Best Supporting Actor,FALSE,The Cider House Rules,,
30614,Michael Clarke Duncan,2000,Golden Globes,Best Supporting Actor,FALSE,The Green Mile,,
30615,Jude Law,2000,Golden Globes,Best Supporting Actor,FALSE,The Talented Mr. Ripley,,
30112,Angelina Jolie,2000,Golden Globes,Best Supporting Actress,TRUE,Girl, Interrupted,
30616,Cameron Diaz,2000,Golden Globes,Best Supporting Actress,FALSE,Being John Malkovich,,
30617,Catherine Keener,2000,Golden Globes,Best Supporting Actress,FALSE,Being John Malkovich,,
30618,Samantha Morton,2000,Golden Globes,Best Supporting Actress,FALSE,Sweet and Lowdown,,
30619,Natalie Portman,2000,Golden Globes,Best Supporting Actress,FALSE,Anywhere but Here,,
30113,Benicio del Toro,2001,Golden Globes,Best Supporting Actor,TRUE,Traffic,,
30620,Jeff Bridges,2001,Golden Globes,Best Supporting Actor,FALSE,The Contender,,
30621,Willem Dafoe,2001,Golden Globes,Best Supporting Actor,FALSE,Shadow of the Vampire,,
30622,Albert Finney,2001,Golden Globes,Best Supporting Actor,FALSE,Erin Brockovich,,
30623,Joaquin Phoenix,2001,Golden Globes,Best Supporting Actor,FALSE,Gladiator,,
30114,Kate Hudson,2001,Golden Globes,Best Supporting Actress,TRUE,Almost Famous,,
30624,Judi Dench,2001,Golden Globes,Best Supporting Actress,FALSE,Chocolat,,
30625,Frances McDormand,2001,Golden Globes,Best Supporting Actress,FALSE,Almost Famous,,
30626,Julie Walters,2001,Golden Globes,Best Supporting Actress,FALSE,Billy Elliot,,
30627,Catherine Zeta-Jones,2001,Golden Globes,Best Supporting Actress,FALSE,Traffic,,
30115,Jim Broadbent,2002,Golden Globes,Best Supporting Actor,TRUE,Iris,,
30628,Steve Buscemi,2002,Golden Globes,Best Supporting Actor,FALSE,Ghost World,,
