tmdb_id,nominee,year,festival,category,won,movie_title,song_title,award_name,Unnamed: 9
33223,Mary Wills,1963,Academy Awards,Best Costume Design (Color),TRUE,The Wonderful World of the Brothers Grimm,,Costume Design (Color),
33218,Piero Gherardi,1964,Academy Awards,Best Costume Design (B&W),TRUE,8½,,Costume Design (Black-and-White),
33017,Irene Sharaff; Vittorio Nino Novarese; Renie,1964,Academy Awards,Best Costume Design (Color),TRUE,Cleopatra,,Costume Design (Color),
33227,Dorothy Jeakins,1965,Academy Awards,Best Costume Design (B&W),TRUE,The Night of the Iguana,,Costume Design (Black-and-White),
33019,Cecil Beaton,1965,Academy Awards,Best Costume Design (Color),TRUE,My Fair Lady,,Costume Design (Color),
33230,Julie Harris,1966,Academy Awards,Best Costume Design (B&W),TRUE,Darling,,Costume Design (Black-and-White),
33232,Phyllis Dalton,1966,Academy Awards,Best Costume Design (Color),TRUE,Doctor Zhivago,,Costume Design (Color),
33234,Irene Sharaff,1967,Academy Awards,Best Costume Design (B&W),TRUE,Who's Afraid of Virginia Woolf?,,Costume Design (Black-and-White),
33023,Joan Bridge; Elizabeth Haffenden,1967,Academy Awards,Best Costume Design (Color),TRUE,A Man for All Seasons,,Costume Design (Color),
33237,John Truscott,1968,Academy Awards,Best Costume Design,TRUE,Camelot,,Costume Design,
33238,Danilo Donati,1969,Academy Awards,Best Costume Design,TRUE,Romeo and Juliet,,Costume Design,
33239,Margaret Furse,1970,Academy Awards,Best Costume Design,TRUE,Anne of the Thousand Days,,Costume Design,
33240,Vittorio Nino Novarese,1971,Academy Awards,Best Costume Design,TRUE,Cromwell,,Costume Design,
33241,Yvonne Blake; Antonio Castillo,1972,Academy Awards,Best Costume Design,TRUE,Nicholas and Alexandra,,Costume Design,
33242,Anthony Powell,1973,Academy Awards,Best Costume Design,TRUE,Travels with My Aunt,,Costume Design,
33243,Edith Head,1974,Academy Awards,Best Costume Design,TRUE,The Sting,,Costume Design,
33244,Theoni V. Aldredge,1975,Academy Awards,Best Costume Design,TRUE,The Great Gatsby,,Costume Design,
33245,Milena Canonero; Ulla-Britt Söderlund,1976,Academy Awards,Best Costume Design,TRUE,Barry Lyndon,,Costume Design,
33246,Danilo Donati,1977,Academy Awards,Best Costume Design,TRUE,Fellini's Casanova,,Costume Design,
33247,John Mollo,1978,Academy Awards,Best Costume Design,TRUE,Star Wars,,Costume Design,
33248,Anthony Powell,1979,Academy Awards,Best Costume Design,TRUE,Death on the Nile,,Costume Design,
33249,Albert Wolsky,1980,Academy Awards,Best Costume Design,TRUE,All That Jazz,,Costume Design,
33250,Anthony Powell,1981,Academy Awards,Best Costume Design,TRUE,Tess,,Costume Design,
33251,Milena Canonero,1982,Academy Awards,Best Costume Design,TRUE,Chariots of Fire,,Costume Design,
33252,John Mollo; Bhanu Athaiya,1983,Academy Awards,Best Costume Design,TRUE,Gandhi,,Costume Design,
33253,Marik Vos-Lundh,1984,Academy Awards,Best Costume Design,TRUE,Fanny and Alexander,,Costume Design,
33254,Theodor Pištěk,1985,Academy Awards,Best Costume Design,TRUE,Amadeus,,Costume Design,
33255,Emi Wada,1986,Academy Awards,Best Costume Design,TRUE,Ran,,Costume Design,
33256,Jenny Beavan; John Bright,1987,Academy Awards,Best Costume Design,TRUE,A Room with a View,,Costume Design,
33257,James Acheson,1988,Academy Awards,Best Costume Design,TRUE,The Last Emperor,,Costume Design,
33258,James Acheson,1989,Academy Awards,Best Costume Design,TRUE,Dangerous Liaisons,,Costume Design,
33259,Phyllis Dalton,1990,Academy Awards,Best Costume Design,TRUE,Henry V,,Costume Design,
33260,Franca Squarciapino,1991,Academy Awards,Best Costume Design,TRUE,Cyrano de Bergerac,,Costume Design,
33261,Albert Wolsky,1992,Academy Awards,Best Costume Design,TRUE,Bugsy,,Costume Design,
33262,Eiko Ishioka,1993,Academy Awards,Best Costume Design,TRUE,Bram Stoker's Dracula,,Costume Design,
33263,Gabriella Pescucci,1994,Academy Awards,Best Costume Design,TRUE,The Age of Innocence,,Costume Design,
33264,Lizzy Gardiner; Tim Chappel,1995,Academy Awards,Best Costume Design,TRUE,The Adventures of Priscilla, Queen of the Desert,Costume Design,
33265,James Acheson,1996,Academy Awards,Best Costume Design,TRUE,Restoration,,Costume Design,
33266,Ann Roth,1997,Academy Awards,Best Costume Design,TRUE,The English Patient,,Costume Design,
33267,Deborah Lynn Scott,1998,Academy Awards,Best Costume Design,TRUE,Titanic,,Costume Design,
33268,Sandy Powell,1999,Academy Awards,Best Costume Design,TRUE,Shakespeare in Love,,Costume Design,
33269,Lindy Hemming,2000,Academy Awards,Best Costume Design,TRUE,Topsy-Turvy,,Costume Design,
33270,Janty Yates,2001,Academy Awards,Best Costume Design,TRUE,Gladiator,,Costume Design,
33271,Catherine Martin; Angus Strathie,2002,Academy Awards,Best Costume Design,TRUE,Moulin Rouge!,,Costume Design,
33272,Colleen Atwood,2003,Academy Awards,Best Costume Design,TRUE,Chicago,,Costume Design,
33273,Ngila Dickson; Richard Taylor,2004,Academy Awards,Best Costume Design,TRUE,The Lord of the Rings: The Return of the King,,Costume Design,
33274,Sandy Powell,2005,Academy Awards,Best Costume Design,TRUE,The Aviator,,Costume Design,
33275,Colleen Atwood,2006,Academy Awards,Best Costume Design,TRUE,Memoirs of a Geisha,,Costume Design,
34312,Milena Canonero,2007,Academy Awards,Best Costume Design,TRUE,Marie Antoinette,,Costume Design,
33276,Alexandra Byrne,2008,Academy Awards,Best Costume Design,TRUE,Elizabeth: The Golden Age,,Costume Design,
33277,Michael O'Connor,2009,Academy Awards,Best Costume Design,TRUE,The Duchess,,Costume Design,
33278,Sandy Powell,2010,Academy Awards,Best Costume Design,TRUE,The Young Victoria,,Costume Design,
33272,Colleen Atwood,2011,Academy Awards,Best Costume Design,TRUE,Alice in Wonderland,,Costume Design,
33278,Mark Bridges,2012,Academy Awards,Best Costume Design,TRUE,The Artist,,Costume Design,
33279,Jacqueline Durran,2013,Academy Awards,Best Costume Design,TRUE,Anna Karenina,,Costume Design,
33271,Catherine Martin,2014,Academy Awards,Best Costume Design,TRUE,The Great Gatsby,,Costume Design,
34313,Milena Canonero,2015,Academy Awards,Best Costume Design,TRUE,The Grand Budapest Hotel,,Costume Design,
33280,Jenny Beavan,2016,Academy Awards,Best Costume Design,TRUE,Mad Max: Fury Road,,Costume Design,
33272,Colleen Atwood,2017,Academy Awards,Best Costume Design,TRUE,Fantastic Beasts and Where to Find Them,,Costume Design,
33278,Mark Bridges,2018,Academy Awards,Best Costume Design,TRUE,Phantom Thread,,Costume Design,
33281,Ruth E. Carter,2019,Academy Awards,Best Costume Design,TRUE,Black Panther,,Costume Design,
33279,Jacqueline Durran,2020,Academy Awards,Best Costume Design,TRUE,Little Women,,Costume Design,
33266,Ann Roth,2021,Academy Awards,Best Costume Design,TRUE,Ma Rainey's Black Bottom,,Costume Design,
33280,Jenny Beavan,2022,Academy Awards,Best Costume Design,TRUE,Cruella,,Costume Design,
33281,Ruth E. Carter,2023,Academy Awards,Best Costume Design,TRUE,Black Panther: Wakanda Forever,,Costume Design,
33282,Holly Waddington,2024,Academy Awards,Best Costume Design,TRUE,Poor Things,,Costume Design,
33286,Paul Tazewell,2025,Academy Awards,Best Costume Design,TRUE,Wicked,,Costume Design,
33400,Kate Hawley,2026,Academy Awards,Best Costume Design,TRUE,Frankenstein,,Costume Design,
