tmdb_id,nominee,year,festival,category,won,movie_title,country
30473,Elio Petri,1970,Academy Awards,Best International Feature Film,TRUE,Investigation of a Citizen Above Suspicion,Italy
30477,Vittorio De Sica,1971,Academy Awards,Best International Feature Film,TRUE,The Garden of the Finzi-Continis,Italy
30480,Luis Buñuel,1972,Academy Awards,Best International Feature Film,TRUE,The Discreet Charm of the Bourgeoisie,France
107,François Truffaut,1973,Academy Awards,Best International Feature Film,TRUE,Day for Night,France
30482,Federico Fellini,1974,Academy Awards,Best International Feature Film,TRUE,Amarcord,Italy
30483,Akira Kurosawa,1975,Academy Awards,Best International Feature Film,TRUE,Dersu Uzala,USSR/Japan
30484,Jean-Jacques Annaud,1976,Academy Awards,Best International Feature Film,TRUE,Black and White in Color,Ivory Coast
30485,Moshé Mizrahi,1977,Academy Awards,Best International Feature Film,TRUE,Madame Rosa,France
30486,Bertrand Blier,1978,Academy Awards,Best International Feature Film,TRUE,Get Out Your Handkerchiefs,France
30487,Volker Schlöndorff,1979,Academy Awards,Best International Feature Film,TRUE,The Tin Drum,West Germany
30488,Vladimir Menshov,1980,Academy Awards,Best International Feature Film,TRUE,Moscow Does Not Believe in Tears,USSR
30489,István Szabó,1981,Academy Awards,Best International Feature Film,TRUE,Mephisto,Hungary
30490,José Luis Garci,1982,Academy Awards,Best International Feature Film,TRUE,Begin the Beguine,Spain
2280,Ingmar Bergman,1983,Academy Awards,Best International Feature Film,TRUE,Fanny and Alexander,Sweden
30491,Richard Dembo,1984,Academy Awards,Best International Feature Film,TRUE,Dangerous Moves,Switzerland
30492,Luis Puenzo,1985,Academy Awards,Best International Feature Film,TRUE,The Official Story,Argentina
30493,Fons Rademakers,1986,Academy Awards,Best International Feature Film,TRUE,The Assault,Netherlands
30494,Gabriel Axel,1987,Academy Awards,Best International Feature Film,TRUE,Babette's Feast,Denmark
30495,Bille August,1988,Academy Awards,Best International Feature Film,TRUE,Pelle the Conqueror,Denmark
30496,Giuseppe Tornatore,1989,Academy Awards,Best International Feature Film,TRUE,Cinema Paradiso,Italy
30497,Xavier Koller,1990,Academy Awards,Best International Feature Film,TRUE,Journey of Hope,Switzerland
30502,Gabriele Salvatores,1991,Academy Awards,Best International Feature Film,TRUE,Mediterraneo,Italy
30507,Régis Wargnier,1992,Academy Awards,Best International Feature Film,TRUE,Indochine,France
30508,Fernando Trueba,1993,Academy Awards,Best International Feature Film,TRUE,Belle Époque,Spain
30509,Nikita Mikhalkov,1994,Academy Awards,Best International Feature Film,TRUE,Burnt by the Sun,Russia
30510,Marleen Gorris,1995,Academy Awards,Best International Feature Film,TRUE,Antonia's Line,Netherlands
30511,Jan Svěrák,1996,Academy Awards,Best International Feature Film,TRUE,Kolya,Czech Republic
30512,Mike van Diem,1997,Academy Awards,Best International Feature Film,TRUE,Character,Netherlands
1064,Roberto Benigni,1998,Academy Awards,Best International Feature Film,TRUE,Life Is Beautiful,Italy
313,Pedro Almodóvar,1999,Academy Awards,Best International Feature Film,TRUE,All About My Mother,Spain
21302,Ang Lee,2000,Academy Awards,Best International Feature Film,TRUE,Crouching Tiger, Hidden Dragon
30513,Danis Tanović,2001,Academy Awards,Best International Feature Film,TRUE,No Man's Land,Bosnia and Herzegovina
30514,Caroline Link,2002,Academy Awards,Best International Feature Film,TRUE,Nowhere in Africa,Germany
21002,Denys Arcand,2003,Academy Awards,Best International Feature Film,TRUE,The Barbarian Invasions,Canada
30515,Alejandro Amenábar,2004,Academy Awards,Best International Feature Film,TRUE,The Sea Inside,Spain
30516,Gavin Hood,2005,Academy Awards,Best International Feature Film,TRUE,Tsotsi,South Africa
30517,Florian Henckel von Donnersmarck,2006,Academy Awards,Best International Feature Film,TRUE,The Lives of Others,Germany
30518,Stefan Ruzowitzky,2007,Academy Awards,Best International Feature Film,TRUE,The Counterfeiters,Austria
30519,Yōjirō Takita,2008,Academy Awards,Best International Feature Film,TRUE,Departures,Japan
30520,Juan José Campanella,2009,Academy Awards,Best International Feature Film,TRUE,The Secret in Their Eyes,Argentina
30521,Susanne Bier,2010,Academy Awards,Best International Feature Film,TRUE,In a Better World,Denmark
30522,Asghar Farhadi,2011,Academy Awards,Best International Feature Film,TRUE,A Separation,Iran
21092,Michael Haneke,2012,Academy Awards,Best International Feature Film,TRUE,Amour,Austria
30523,Paolo Sorrentino,2013,Academy Awards,Best International Feature Film,TRUE,The Great Beauty,Italy
30524,Paweł Pawlikowski,2014,Academy Awards,Best International Feature Film,TRUE,Ida,Poland
30525,László Nemes,2015,Academy Awards,Best International Feature Film,TRUE,Son of Saul,Hungary
30526,Asghar Farhadi,2016,Academy Awards,Best International Feature Film,TRUE,The Salesman,Iran
30527,Sebastián Lelio,2017,Academy Awards,Best International Feature Film,TRUE,A Fantastic Woman,Chile
21427,Alfonso Cuarón,2018,Academy Awards,Best International Feature Film,TRUE,Roma,Mexico
21434,Bong Joon-ho,2019,Academy Awards,Best International Feature Film,TRUE,Parasite,South Korea
30528,Thomas Vinterberg,2020,Academy Awards,Best International Feature Film,TRUE,Another Round,Denmark
21455,Ryusuke Hamaguchi,2021,Academy Awards,Best International Feature Film,TRUE,Drive My Car,Japan
21462,Edward Berger,2022,Academy Awards,Best International Feature Film,TRUE,All Quiet on the Western Front,Germany
21473,Jonathan Glazer,2023,Academy Awards,Best International Feature Film,TRUE,The Zone of Interest,United Kingdom
30529,Walter Salles,2024,Academy Awards,Best International Feature Film,TRUE,I'm Still Here,Brazil
30530,Joachim Trier,2025,Academy Awards,Best International Feature Film,TRUE,Sentimental Value,Norway
30534,Kaouther Ben Hania,2026,Academy Awards,Best International Feature Film,TRUE,The Voice of Hind Rajab,Tunisia
