bucket,action,festival,category,year,nominee,movie_title,won,tmdb_id,source_file,review_required,notes
A,DROP,Oscar,Best Picture,2018,,The Shape of Water,true,399055,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2018,,The Shape of Water,true,399055,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2018,,The Shape of Water,true,399055,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2018,,The Shape of Water,true,399055,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2018,,Darkest Hour,true,399404,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2018,,Darkest Hour,true,399404,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2017,,Moonlight,true,376867,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2017,,Moonlight,true,376867,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2017,,La La Land,true,313369,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2017,,La La Land,true,313369,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2017,,Manchester by the Sea,true,334541,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2017,,Manchester by the Sea,true,334541,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2016,,Spotlight,true,314365,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2016,,Spotlight,true,314365,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2016,,The Revenant,true,281957,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2016,,The Revenant,true,281957,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2016,,The Revenant,true,281957,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2016,,The Revenant,true,281957,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2015,,Birdman or (The Unexpected Virtue of Ignorance),true,194662,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2015,,Birdman or (The Unexpected Virtue of Ignorance),true,194662,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2015,,Birdman or (The Unexpected Virtue of Ignorance),true,194662,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2015,,Birdman or (The Unexpected Virtue of Ignorance),true,194662,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2015,,The Theory of Everything,true,266856,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2015,,The Theory of Everything,true,266856,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2014,,12 Years a Slave,true,76203,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2014,,12 Years a Slave,true,76203,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2014,,Gravity,true,49047,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2014,,Gravity,true,49047,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2014,,Dallas Buyers Club,true,152532,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2014,,Dallas Buyers Club,true,152532,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2013,,Argo,true,68734,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2013,,Argo,true,68734,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2013,,Life of Pi,true,87827,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2013,,Life of Pi,true,87827,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2013,,Lincoln,true,72976,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2013,,Lincoln,true,72976,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2012,,The Artist,true,74603,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2012,,The Artist,true,74603,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2012,,The Artist,true,74603,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2012,,The Artist,true,74603,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2012,,The Artist,true,74603,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2012,,The Artist,true,74603,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2011,,The King's Speech,true,45269,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2011,,The King's Speech,true,45269,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2011,,The King's Speech,true,45269,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2011,,The King's Speech,true,45269,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2011,,The King's Speech,true,45269,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2011,,The King's Speech,true,45269,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2010,,The Hurt Locker,true,12162,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2010,,The Hurt Locker,true,12162,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2010,,The Hurt Locker,true,12162,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2010,,The Hurt Locker,true,12162,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2010,,Crazy Heart,true,10314,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2010,,Crazy Heart,true,10314,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2009,,Slumdog Millionaire,true,12405,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2009,,Slumdog Millionaire,true,12405,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2009,,Slumdog Millionaire,true,12405,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2009,,Slumdog Millionaire,true,12405,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2009,,Milk,true,10191,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2009,,Milk,true,10191,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2008,,No Country for Old Men,true,6977,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2008,,No Country for Old Men,true,6977,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2008,,No Country for Old Men,true,6977,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2008,,No Country for Old Men,true,6977,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2008,,There Will Be Blood,true,7345,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2008,,There Will Be Blood,true,7345,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2007,,The Departed,true,1422,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2007,,The Departed,true,1422,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2007,,The Departed,true,1422,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2007,,The Departed,true,1422,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2007,,The Last King of Scotland,true,1255,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2007,,The Last King of Scotland,true,1255,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2006,,Crash,true,1640,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2006,,Crash,true,1640,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2006,,Brokeback Mountain,true,1969,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2006,,Brokeback Mountain,true,1969,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2006,,Capote,true,1893,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2006,,Capote,true,1893,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2005,,Million Dollar Baby,true,70,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2005,,Million Dollar Baby,true,70,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2005,,Million Dollar Baby,true,70,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2005,,Million Dollar Baby,true,70,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2005,,Ray,true,16869,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2005,,Ray,true,16869,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2004,,The Lord of the Rings: The Return of the King,true,122,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2004,,The Lord of the Rings: The Return of the King,true,122,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2004,,The Lord of the Rings: The Return of the King,true,122,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2004,,The Lord of the Rings: The Return of the King,true,122,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2004,,Mystic River,true,322,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2004,,Mystic River,true,322,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2003,,Chicago,true,1574,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2003,,Chicago,true,1574,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2003,,The Pianist,true,423,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2003,,The Pianist,true,423,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2003,,The Pianist,true,423,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2003,,The Pianist,true,423,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2002,,A Beautiful Mind,true,453,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2002,,A Beautiful Mind,true,453,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2002,,A Beautiful Mind,true,453,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2002,,A Beautiful Mind,true,453,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2002,,Training Day,true,2034,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2002,,Training Day,true,2034,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2001,,Gladiator,true,98,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2001,,Gladiator,true,98,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2001,,Traffic,true,1900,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2001,,Traffic,true,1900,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2001,,Gladiator,true,98,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2001,,Gladiator,true,98,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2000,,American Beauty,true,14,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2000,,American Beauty,true,14,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2000,,American Beauty,true,14,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2000,,American Beauty,true,14,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2000,,American Beauty,true,14,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2000,,American Beauty,true,14,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2025,,The Brutalist,false,0,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2025,,The Brutalist,false,549509,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2025,,A Complete Unknown,false,0,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2025,,A Complete Unknown,false,661539,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2025,,Conclave,false,0,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2025,,Conclave,false,974576,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2025,,Dune: Part Two,false,0,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2025,,Dune: Part Two,false,693134,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2025,,I'm Still Here,false,0,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2025,,I'm Still Here,false,1000837,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2025,,Nickel Boys,false,0,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2025,,Nickel Boys,false,1028196,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2025,,The Substance,false,0,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2025,,The Substance,false,933260,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2025,,Wicked,false,0,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2025,,Wicked,false,402431,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2024,,Barbie,false,346698,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2024,,Barbie,false,346698,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2024,,American Fiction,false,1056380,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2024,,American Fiction,false,1056380,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2024,,Anatomy of a Fall,false,915935,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2024,,Anatomy of a Fall,false,915935,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2024,,The Holdovers,false,840430,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2024,,The Holdovers,false,840430,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2024,,Killers of the Flower Moon,false,466420,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2024,,Killers of the Flower Moon,false,466420,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2024,,Maestro,false,523607,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2024,,Maestro,false,523607,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2024,,Past Lives,false,975902,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2024,,Past Lives,false,975902,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2024,,Poor Things,false,792307,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2024,,Poor Things,false,792307,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2024,,The Zone of Interest,false,467244,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2024,,The Zone of Interest,false,467244,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2024,,Anatomy of a Fall,false,915935,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2024,,Anatomy of a Fall,false,915935,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2024,,Killers of the Flower Moon,false,466420,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2024,,Killers of the Flower Moon,false,466420,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2024,,Poor Things,false,792307,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2024,,Poor Things,false,792307,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2024,,The Zone of Interest,false,467244,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2024,,The Zone of Interest,false,467244,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2024,,Maestro,false,523607,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2024,,Maestro,false,523607,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2024,,The Holdovers,false,840430,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2024,,The Holdovers,false,840430,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2024,,American Fiction,false,1056380,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2024,,American Fiction,false,1056380,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2023,,All Quiet on the Western Front,false,0,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2023,,All Quiet on the Western Front,false,0,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2023,,Avatar: The Way of Water,false,0,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2023,,Avatar: The Way of Water,false,0,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2023,,The Banshees of Inisherin,false,0,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2023,,The Banshees of Inisherin,false,0,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2023,,Elvis,false,0,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2023,,Elvis,false,0,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2023,,The Fabelmans,false,0,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2023,,The Fabelmans,false,0,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
