tmdb_id,nominee,year,festival,category,won,movie_title,Unnamed: 7,Unnamed: 8,Unnamed: 9
34432,Richard M. Sherman; Robert B. Sherman,1964,Academy Awards,Best Original Score,TRUE,Mary Poppins,,,
34433,André Previn,1964,Academy Awards,Best Original Score,TRUE,My Fair Lady,,,
32438,Richard M. Sherman; Robert B. Sherman,1964,Academy Awards,Best Original Score,TRUE,Mary Poppins,,,
32436,Maurice Jarre,1965,Academy Awards,Best Original Score,TRUE,Doctor Zhivago,,,
34434,Maurice Jarre,1965,Academy Awards,Best Original Score,TRUE,Doctor Zhivago,,,
34435,Irwin Kostal,1965,Academy Awards,Best Original Score,TRUE,The Sound of Music,,,
34436,John Barry,1966,Academy Awards,Best Original Score,TRUE,Born Free,,,
32439,John Barry,1966,Academy Awards,Best Original Score,TRUE,Born Free,,,
34437,Ken Thorne,1966,Academy Awards,Best Original Score,TRUE,A Funny Thing Happened on the Way to the Forum,,,
32440,Elmer Bernstein,1967,Academy Awards,Best Original Score,TRUE,Thoroughly Modern Millie,,,
34438,Elmer Bernstein,1967,Academy Awards,Best Original Score,TRUE,Thoroughly Modern Millie,,,
34439,Alfred Newman; Ken Darby,1967,Academy Awards,Best Original Score,TRUE,Camelot,,,
34440,John Barry,1968,Academy Awards,Best Original Score,TRUE,The Lion in Winter,,,
32439,John Barry,1968,Academy Awards,Best Original Score,TRUE,The Lion in Winter,,,
34441,Johnny Green,1968,Academy Awards,Best Original Score,TRUE,Oliver!,,,
32441,Burt Bacharach,1969,Academy Awards,Best Original Score,TRUE,Butch Cassidy and the Sundance Kid,,,
34442,Burt Bacharach,1969,Academy Awards,Best Original Score,TRUE,Butch Cassidy and the Sundance Kid,,,
34443,Lennie Hayton; Lionel Newman,1969,Academy Awards,Best Original Score,TRUE,Hello Dolly!,,,
34445,The Beatles,1970,Academy Awards,Best Original Score,TRUE,Let It Be,,,
34444,Francis Lai,1970,Academy Awards,Best Original Score,TRUE,Love Story,,,
32442,Francis Lai,1970,Academy Awards,Best Original Score,TRUE,Love Story,,,
32443,Michel Legrand,1971,Academy Awards,Best Original Score,TRUE,Summer of '42,,,
34447,Isaac Hayes,1971,Academy Awards,Best Original Score,TRUE,Shaft,,,
34448,John Williams,1971,Academy Awards,Best Original Score,TRUE,Fiddler on the Roof,,,
34446,Michel Legrand,1971,Academy Awards,Best Original Score,TRUE,Summer of '42,,,
34449,Charlie Chaplin; Raymond Rasch; Larry Russell,1972,Academy Awards,Best Original Score,TRUE,Limelight,,,
32445,Charlie Chaplin; Raymond Rasch; Larry Russell,1972,Academy Awards,Best Original Score,TRUE,Limelight,,,
34450,Ralph Burns,1972,Academy Awards,Best Original Score,TRUE,Cabaret,,,
34451,Marvin Hamlisch,1973,Academy Awards,Best Original Score,TRUE,The Way We Were,,,
32446,Marvin Hamlisch,1973,Academy Awards,Best Original Score,TRUE,The Way We Were,,,
34452,Marvin Hamlisch,1973,Academy Awards,Best Original Score,TRUE,The Sting,,,
34453,Nino Rota; Carmine Coppola,1974,Academy Awards,Best Original Score,TRUE,The Godfather Part II,,,
32447,Nino Rota; Carmine Coppola,1974,Academy Awards,Best Original Score,TRUE,The Godfather Part II,,,
34454,Nelson Riddle,1974,Academy Awards,Best Original Score,TRUE,The Great Gatsby,,,
34455,John Williams,1975,Academy Awards,Best Original Score,TRUE,Jaws,,,
34456,Leonard Rosenman,1975,Academy Awards,Best Original Score,TRUE,Barry Lyndon,,,
32444,John Williams,1975,Academy Awards,Best Original Score,TRUE,Jaws,,,
32448,Jerry Goldsmith,1976,Academy Awards,Best Original Score,TRUE,The Omen,,,
32444,John Williams,1977,Academy Awards,Best Original Score,TRUE,Star Wars,,,
32449,Giorgio Moroder,1978,Academy Awards,Best Original Score,TRUE,Midnight Express,,,
32450,Georges Delerue,1979,Academy Awards,Best Original Score,TRUE,A Little Romance,,,
32451,Michael Gore,1980,Academy Awards,Best Original Score,TRUE,Fame,,,
32452,Vangelis,1981,Academy Awards,Best Original Score,TRUE,Chariots of Fire,,,
32444,John Williams,1982,Academy Awards,Best Original Score,TRUE,E.T. the Extra-Terrestrial,,,
32453,Bill Conti,1983,Academy Awards,Best Original Score,TRUE,The Right Stuff,,,
32436,Maurice Jarre,1984,Academy Awards,Best Original Score,TRUE,A Passage to India,,,
32439,John Barry,1985,Academy Awards,Best Original Score,TRUE,Out of Africa,,,
32454,Herbie Hancock,1986,Academy Awards,Best Original Score,TRUE,Round Midnight,,,
32455,Ryuichi Sakamoto; David Byrne; Cong Su,1987,Academy Awards,Best Original Score,TRUE,The Last Emperor,,,
32456,Dave Grusin,1988,Academy Awards,Best Original Score,TRUE,The Milagro Beanfield War,,,
32457,Alan Menken,1989,Academy Awards,Best Original Score,TRUE,The Little Mermaid,,,
32439,John Barry,1990,Academy Awards,Best Original Score,TRUE,Dances with Wolves,,,
32457,Alan Menken,1991,Academy Awards,Best Original Score,TRUE,Beauty and the Beast,,,
32457,Alan Menken,1992,Academy Awards,Best Original Score,TRUE,Aladdin,,,
32444,John Williams,1993,Academy Awards,Best Original Score,TRUE,Schindler's List,,,
32458,Hans Zimmer,1994,Academy Awards,Best Original Score,TRUE,The Lion King,,,
32457,Alan Menken; Stephen Schwartz,1995,Academy Awards,Best Original Score,TRUE,Pocahontas,,,
32460,Gabriel Yared,1996,Academy Awards,Best Original Score,TRUE,The English Patient,,,
32654,Rachel Portman,1996,Academy Awards,Best Original Score,TRUE,Emma,,,
32461,James Horner,1997,Academy Awards,Best Original Score,TRUE,Titanic,,,
32462,Nicola Piovani,1998,Academy Awards,Best Original Score,TRUE,Life is Beautiful,,,
32463,John Corigliano,1999,Academy Awards,Best Original Score,TRUE,The Red Violin,,,
32464,Tan Dun,2000,Academy Awards,Best Original Score,TRUE,Crouching Tiger, Hidden Dragon,,
32465,Howard Shore,2001,Academy Awards,Best Original Score,TRUE,The Lord of the Rings: The Fellowship of the Ring,,,
32466,Elliot Goldenthal,2002,Academy Awards,Best Original Score,TRUE,Frida,,,
32465,Howard Shore,2003,Academy Awards,Best Original Score,TRUE,The Lord of the Rings: The Return of the King,,,
32467,Jan A. P. Kaczmarek,2004,Academy Awards,Best Original Score,TRUE,Finding Neverland,,,
32468,Gustavo Santaolalla,2005,Academy Awards,Best Original Score,TRUE,Brokeback Mountain,,,
32468,Gustavo Santaolalla,2006,Academy Awards,Best Original Score,TRUE,Babel,,,
32469,Dario Marianelli,2007,Academy Awards,Best Original Score,TRUE,Atonement,,,
32470,A. R. Rahman,2008,Academy Awards,Best Original Score,TRUE,Slumdog Millionaire,,,
32471,Michael Giacchino,2009,Academy Awards,Best Original Score,TRUE,Up,,,
32472,Trent Reznor; Atticus Ross,2010,Academy Awards,Best Original Score,TRUE,The Social Network,,,
32473,Ludovic Bource,2011,Academy Awards,Best Original Score,TRUE,The Artist,,,
32474,Mychael Danna,2012,Academy Awards,Best Original Score,TRUE,Life of Pi,,,
32475,Steven Price,2013,Academy Awards,Best Original Score,TRUE,Gravity,,,
32476,Alexandre Desplat,2014,Academy Awards,Best Original Score,TRUE,The Grand Budapest Hotel,,,
32477,Ennio Morricone,2015,Academy Awards,Best Original Score,TRUE,The Hateful Eight,,,
32478,Justin Hurwitz,2016,Academy Awards,Best Original Score,TRUE,La La Land,,,
32476,Alexandre Desplat,2017,Academy Awards,Best Original Score,TRUE,The Shape of Water,,,
32479,Ludwig Göransson,2018,Academy Awards,Best Original Score,TRUE,Black Panther,,,
32480,Hildur Guðnadóttir,2019,Academy Awards,Best Original Score,TRUE,Joker,,,
32481,Jon Batiste; Trent Reznor; Atticus Ross,2020,Academy Awards,Best Original Score,TRUE,Soul,,,
32458,Hans Zimmer,2021,Academy Awards,Best Original Score,TRUE,Dune,,,
32482,Volker Bertelmann,2022,Academy Awards,Best Original Score,TRUE,All Quiet on the Western Front,,,
32479,Ludwig Göransson,2023,Academy Awards,Best Original Score,TRUE,Oppenheimer,,,
32479,Ludwig Göransson,2024,Academy Awards,Best Original Score,TRUE,Oppenheimer,,,
32479,Ludwig Göransson,2025,Academy Awards,Best Original Score,TRUE,Sinners,,,
32484,Jonny Greenwood,2026,Academy Awards,Best Original Score,TRUE,One Battle After Another,,,
